courseNumber,courseTitle,daytime,faculty1,Units
MGT423,Sourcing & Managing Funds,M  W 10:10 AM-11:30 AM,"Thomas, Jacob",2
MGT423,Sourcing & Managing Funds,M  W 1:00 PM-2:20 PM,"Thomas, Jacob",2
MGT423,Sourcing & Managing Funds,M  W 2:40 PM-4:00 PM,"Thomas, Jacob",2
MGT423,Sourcing & Managing Funds,T  Th 8:30 AM-9:50 AM,"Rouwenhorst, Geert",2
MGT423,Sourcing & Managing Funds,T  Th 10:10 AM-11:30 AM,"Rouwenhorst, Geert",2
MGT529,Global Social Entrepreneurship: India,W 2:40 PM-5:40 PM,"Ghosh, Asha",4
MGT614,Data Visualization for Social Sector,W 2:40 PM-5:40 PM,"Cooney, Kate",2
MGT620,Games & Information I,T  Th 1:00 PM-2:20 PM,"Polak, Benjamin",2
MGT631,Public Health Entrepreneurship,M  W 10:10 AM-11:30 AM,"Chahine, Teresa",2
MGT631,Public Health Entrepreneurship,M  W 1:00 PM-2:20 PM,"Chahine, Teresa",2
MGT635,Mergers & Acquisitions,T  Th 8:30 AM-9:50 AM,"Hirst, Simon",2
MGT636,Global Leadership: Personal & Interpersonal Effectiveness ,W 4:10 PM-7:10 PM,"Tate, David",2
MGT654,Data-Driven Value Creation in Healthcare and Life Sciences,T  Th 10:10 AM-11:30 AM,"Rozenblit, Leon",2
MGT665,Principles of Entrepreneurship,T  Th 8:30 AM-9:50 AM,"Kovacs, Balazs",2
MGT665,Principles of Entrepreneurship,T  Th 10:10 AM-11:30 AM,"Kovacs, Balazs",2
MGT665,Principles of Entrepreneurship,T  Th 1:00 PM-2:20 PM,"Kovacs, Balazs",2
MGT677,"Rollups, Consolidations and Programmatic Acquisitions",M  W 10:10 AM-11:30 AM,"Wasserstein, A.J.",2
MGT801,Impact Measurement & Financial Reporting in the Social Sector,M  W 8:30 AM-9:50 AM,"Duguay, Raphael",2
MGT801,Impact Measurement & Financial Reporting in the Social Sector,M  W 10:10 AM-11:30 AM,"Duguay, Raphael",2
MGT806,Private Equity: Value Creation,T 6:00 PM-9:00 PM,"Blumenthal, Adam",2
MGT812,Financial Statement Analysis,T  Th 1:00 PM-2:20 PM,"Zhang, Frank",2
MGT812,Financial Statement Analysis,T  Th 10:10 AM-11:30 AM,"Zhang, Frank",2
MGT818,Global Virtual Teams,T  Th 4:10 PM-6:10 PM,"Fujikawa, Yoshinori",2
MGT819,Data Science,M  W 10:10 AM-11:30 AM,"Manshadi, Vahideh",2
MGT819,Data Science,M  W 1:00 PM-2:20 PM,"Manshadi, Vahideh",2
MGT819,Data Science,M  W 2:40 PM-4:00 PM,"Manshadi, Vahideh",2
MGT821,From Cash to Crypto: The Evolution of Payment Methods,M  W 2:40 PM-4:00 PM,"Argente, David",2
MGT822,Game Theory and Market Design,T  Th 10:10 AM-11:30 AM,"Zhou, Jidong",2
MGT822,Game Theory and Market Design,T  Th 2:40 PM-4:00 PM,"Zhou, Jidong",2
MGT832,Leadership Lab,M  W 1:00 PM-2:20 PM,"Biggerstaff, Sarah",2
MGT832,Leadership Lab,M  W 2:40 PM-4:00 PM,"Biggerstaff, Sarah",2
MGT832,Leadership Lab,T  Th 8:30 AM-9:50 AM,"Biggerstaff, Sarah",2
MGT832,Leadership Lab,T  Th 10:10 AM-11:30 AM,"Biggerstaff, Sarah",2
MGT841,Corporate Finance: Core Topics,M  W 4:10 PM-5:30 PM,"Clayton, Christopher",2
MGT846,Introduction to Private Equity,M 4:10 PM-7:10 PM,"Davis, Robert",2
